# Generated by scripts/gen-oui.py from the IEEE MA-L registry. Do not edit.
# prefix,vendor
000000,Xerox
000001,Xerox
000002,Xerox
000003,Xerox
000004,Xerox
000005,Xerox
000006,Xerox
000007,Xerox
000008,Xerox
000009,Xerox
00000C,Cisco
00000E,Fujitsu
000014,Netronix
000017,VirtualBox
000039,Toshiba
000048,Epson
00004C,NEC
000074,Ricoh
00007D,VirtualBox
000085,Canon
000095,Sony
000097,Dell
0000AA,Xerox
0000B4,Edimax
0000C0,WD
0000C5,Arris
0000C9,Emulex
0000CA,Arris
0000DD,TCL
0000E2,Acer
0000F0,Samsung
000102,3Com
000103,3Com
000121,WatchGuard
000124,Acer
000130,Extreme
000142,Cisco
000143,Cisco
000144,Dell
00014A,Sony
00014F,Adtran
00015D,VirtualBox
000163,Cisco
000164,Cisco
00016C,Foxconn
000196,Cisco
000197,Cisco
0001C7,Cisco
0001C9,Cisco
0001E6,HP
0001E7,HP
0001EC,Ericsson
0001F4,Extreme
000216,Cisco
000217,Cisco
000220,Canon
00023B,Ericsson
00023D,Cisco
00023F,Compal
00024A,Cisco
00024B,Cisco
00025D,Calix
00026C,Philips
000278,Samsung
00027D,Cisco
00027E,Cisco
00029C,3Com
0002A5,HP
0002B3,Intel
0002B9,Cisco
0002BA,Cisco
0002C9,Mellanox
0002DC,Fujitsu
0002E3,Liteon
0002EE,Nokia
0002FC,Cisco
0002FD,Cisco
000331,Cisco
000332,Cisco
000347,Intel
00036B,Cisco
00036C,Cisco
000378,Humax
00037F,Atheros
000393,Apple
00039F,Cisco
0003A0,Cisco
0003AD,Emerson
0003BA,VirtualBox
0003E0,Arris
0003E3,Cisco
0003E4,Cisco
0003FD,Cisco
0003FE,Cisco
0003FF,Microsoft
00040B,3Com
00040E,AVM
00040F,ASUSTek
00041F,Sony
000423,Intel
000425,Microchip
000427,Cisco
000428,Cisco
00043C,Sonos
00044D,Cisco
00044E,Cisco
00046D,Cisco
00046E,Cisco
000475,3Com
000476,3Com
00047D,Motorola
000496,Extreme
00049A,Cisco
00049B,Cisco
0004A3,Microchip
0004BD,Arris
0004C0,Cisco
0004C1,Cisco
0004CF,Seagate
0004DD,Cisco
0004DE,Cisco
0004EA,HP
0004F2,Polycom
000500,Cisco
000501,Cisco
000502,Apple
000512,Zebra
00051A,3Com
000531,Cisco
000532,Cisco
00054E,Philips
00054F,Garmin
00055D,D-Link
00055E,Cisco
00055F,Cisco
000569,VMware
000573,Cisco
000574,Cisco
000585,Juniper
00059A,Cisco
00059B,Cisco
0005B5,Broadcom
0005C9,LG
0005CA,Hitron
0005DC,Cisco
0005DD,Cisco
000600,Toshiba
000628,Cisco
00062A,Cisco
000631,Calix
00064A,Honeywell
000652,Cisco
000653,Cisco
00065B,Dell
00067C,Cisco
00068C,3Com
0006B1,SonicWall
0006C1,Cisco
0006D6,Cisco
0006D7,Cisco
0006F6,Cisco
00070D,Cisco
00070E,Cisco
00071C,AT&T
000740,Buffalo
000743,Chelsio
00074D,Zebra
00074F,Cisco
000750,Cisco
00077D,Cisco
000782,VirtualBox
000784,Cisco
000785,Cisco
0007AB,Samsung
0007B3,Cisco
0007B4,Cisco
0007D8,Hitron
0007E9,Intel
0007EB,Cisco
0007EC,Cisco
000802,HP
00080D,Toshiba
00080E,Arris
000820,Cisco
000821,Cisco
00082F,Cisco
000830,Cisco
000831,Cisco
000832,Cisco
000854,Netronix
000862,NEC
000874,Dell
00087C,Cisco
00087D,Cisco
000883,HP
00088C,Quanta
